,opted_in_to_mailing_list,enabled_for_marketing_drip,creation_login_gap,mean_gap_length,creation_source_GUEST_INVITE,creation_source_ORG_INVITE,creation_source_PERSONAL_PROJECTS,creation_source_SIGNUP,creation_source_SIGNUP_GOOGLE_AUTH,org_size_L,org_size_M,org_size_S,org_size_XL,org_size_XS,group_size_L,group_size_M,group_size_S,group_size_XL,group_size_XS,adopted
73,0,0,0.0,3.8275862068965516,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,True
74,0,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
75,1,1,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
76,1,1,0.0,14.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
77,1,0,0.0,100.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
78,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
79,1,1,1.0,9.142857142857142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
80,1,0,1.0,4.35064935064935,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,True
81,0,0,2.0,2.3284313725490198,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,True
82,1,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
83,0,0,1.0,100.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,False
84,1,1,3.0,100.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,False
85,0,0,3.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
86,1,0,2.0,2.436893203883495,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
87,0,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
88,0,0,2.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
89,0,0,0.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,False
90,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
91,0,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
92,0,0,100.0,100.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
93,0,0,4.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
94,0,0,0.0,13.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
95,0,0,1.0,12.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
96,0,0,0.0,100.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False
97,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
98,0,1,4.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
99,0,0,3.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
100,0,0,1.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
101,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
102,1,1,0.0,100.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
103,0,1,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
104,1,1,2.0,100.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
105,0,0,1.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
106,0,0,3.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
107,1,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
108,1,0,3.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
109,0,0,2.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
110,0,0,1.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
111,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
112,0,0,4.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
113,0,0,1.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
114,0,0,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
115,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
116,0,0,2.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
117,1,1,100.0,100.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
118,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
119,1,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
120,1,0,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
121,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,False
122,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
123,0,0,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
124,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
125,1,1,0.0,11.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
126,0,0,2.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
127,0,1,1.0,9.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
128,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
129,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
130,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
131,0,0,1.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
132,0,0,4.0,3.436619718309859,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,True
133,0,0,100.0,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False
134,0,0,4.0,5.478260869565218,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
135,1,0,0.0,9.8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
136,0,0,100.0,100.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False
137,0,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
138,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
139,0,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
140,0,0,0.0,7.2631578947368425,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
141,0,0,0.0,27.666666666666668,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
142,0,0,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
143,1,0,2.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
144,1,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
145,0,0,2.0,4.054545454545455,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,True
146,0,0,0.0,100.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,False
147,0,0,100.0,100.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
148,0,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
149,0,0,0.0,100.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False
150,0,0,0.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
151,1,1,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
152,0,0,0.0,2.5064102564102564,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,True
153,0,0,2.0,100.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
154,0,0,1.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
155,1,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
156,0,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,False
157,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
158,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
159,1,1,2.0,2.6780821917808217,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,True
160,1,0,4.0,100.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False
161,0,0,1.0,100.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
162,0,0,100.0,100.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
163,0,1,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
164,0,0,1.0,6.1875,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,True
165,1,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
166,1,0,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
167,0,0,0.0,1.669811320754717,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
168,0,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
169,1,1,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
170,0,0,0.0,9.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
171,0,0,3.0,7.5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,True
172,1,0,0.0,100.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False
173,0,0,0.0,10.523809523809524,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,True
174,0,0,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
175,0,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
176,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
177,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
178,0,0,1.0,100.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
179,0,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
180,0,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
181,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
182,0,0,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
183,0,0,0.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
184,0,0,0.0,2.3636363636363638,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,True
185,1,1,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
186,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
187,0,0,0.0,4.666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,True
188,0,1,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
189,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
190,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
191,0,0,100.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
192,1,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
193,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
194,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
195,0,0,1.0,100.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False
196,1,0,1.0,3.411764705882353,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,True
197,0,1,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
198,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
199,1,1,2.0,2.9367088607594938,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,True
200,1,1,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
201,1,0,1.0,3.5454545454545454,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,True
202,1,0,1.0,1.6886792452830188,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,True
203,0,0,4.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
204,0,0,0.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
205,0,1,0.0,100.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
206,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
207,0,0,2.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
208,0,0,0.0,2.1631205673758864,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,True
209,0,0,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
210,1,0,1.0,100.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,False
211,0,0,4.0,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
212,1,0,2.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
213,0,0,1.0,4.745283018867925,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,True
214,0,0,1.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
215,0,0,3.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
216,1,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
217,0,1,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
218,1,0,2.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
219,0,1,1.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
220,0,0,1.0,5.666666666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
221,1,1,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
222,0,0,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
223,0,0,100.0,100.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False
224,0,0,2.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
225,0,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
226,1,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
227,1,1,3.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
228,1,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
229,0,0,2.0,1.444078947368421,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
230,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
231,0,0,2.0,100.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,False
232,0,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
233,0,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
234,0,0,4.0,100.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False
235,0,0,1.0,100.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False
236,1,1,0.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
237,0,0,2.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
238,0,0,0.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
239,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
240,0,0,5.0,11.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
241,1,0,2.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
242,1,0,4.0,100.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False
243,0,0,2.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
244,0,0,0.0,1.8615384615384616,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
245,0,0,1.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
246,0,0,0.0,4.135593220338983,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
247,0,0,100.0,100.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
248,0,0,1.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
249,1,1,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
250,0,0,0.0,6.666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
251,0,0,2.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
252,0,1,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
253,1,0,1.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
254,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
255,1,0,2.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
256,0,0,100.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
257,1,1,5.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
258,1,0,0.0,100.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,False
259,0,1,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
260,1,0,1.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
261,1,0,3.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
262,0,0,0.0,1.570342205323194,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
263,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
264,0,0,1.0,6.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,True
265,0,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
266,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
267,0,0,1.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
268,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
269,0,0,100.0,100.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
270,0,0,0.0,100.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,False
271,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
272,1,0,3.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
273,0,0,100.0,100.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
274,0,0,3.0,4.15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,True
275,0,0,100.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,False
276,0,0,0.0,11.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
277,0,0,1.0,100.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
278,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
279,1,0,5.0,5.509090909090909,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,True
280,0,0,100.0,100.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,False
281,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
282,0,0,0.0,6.833333333333333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,True
283,0,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
284,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
285,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
286,1,0,100.0,100.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
287,1,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
288,1,1,2.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
289,1,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
290,1,1,0.0,25.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False
291,0,0,1.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
